table;colonne;libelle;type_cible;role_dw;regle_transformation;pq
DIS_COM_UDI;inseecommune;Code INSEE de la commune desservie par le reseau;VARCHAR(5);Cle etrangere -> DIM_GEOGRAPHIE;Conserver en texte (zeros de tete, 2A/2B). Ne jamais caster en entier.;PQ-05
DIS_COM_UDI;nomcommune;Nom de la commune;VARCHAR(50);Attribut degrade de DIM_GEOGRAPHIE;Trim + normalisation de casse. Ne pas utiliser comme cle (homonymes).;PQ-09
DIS_COM_UDI;quartier;Quartier ou zone desservie;VARCHAR(80);Rejete (qualite insuffisante);Texte libre non normalise. Mapper le tiret vers NULL. Non retenu dans le DW.;PQ-09
DIS_COM_UDI;cdreseau;Code de l unite de distribution (UDI);VARCHAR(9);Cle etrangere -> DIM_RESEAU_UDI;Cle de la table pont COMMUNE x UDI (arc multiple).;
DIS_COM_UDI;nomreseau;Libelle de l UDI;VARCHAR(80);Attribut de DIM_RESEAU_UDI;Libelle variable dans le temps -> retenir le plus recent (SCD type 1).;PQ-10
DIS_COM_UDI;debutalim;Date de debut d alimentation de la commune par l UDI;DATE;Attribut de la table pont;Caster en DATE. La valeur 1900-01-01 est une sentinelle inconnu -> NULL.;PQ-06
DIS_PLV;cddept;Code departement du prelevement;VARCHAR(3);Cle etrangere -> DIM_GEOGRAPHIE (niveau departement);Format 001 a 976 plus 02A et 02B. Derivable depuis inseecommuneprinc.;PQ-05
DIS_PLV;cdreseau;Code de l UDI prelevee;VARCHAR(9);Cle etrangere -> DIM_RESEAU_UDI;Integrite referentielle avec COM_UDI verifiee : zero orphelin.;
DIS_PLV;inseecommuneprinc;Code INSEE de la commune principale de l UDI;VARCHAR(5);Cle etrangere -> DIM_GEOGRAPHIE;Commune PRINCIPALE de l UDI, pas la commune du point de prelevement.;PQ-07
DIS_PLV;nomcommuneprinc;Nom de la commune principale;VARCHAR(50);Attribut degrade;Trim. Non retenu comme cle.;PQ-09
