Table;Colonne;Libelle;Type_source;Type_cible_DW;Role_DW;Nb_lignes;Pct_manquant;Nb_valeurs_distinctes;Longueur_min;Longueur_max;Valeur_min;Valeur_max;Regle_transformation;Probleme_qualite
DIS_COM_UDI;;;;;;;;;;;;;;
DIS_COM_UDI;inseecommune;Code INSEE de la commune desservie par le reseau;VARCHAR (fichier plat);VARCHAR(5);Cle etrangere -> DIM_GEOGRAPHIE;495 059;0.00 %;34 944;5;5;1001;97801;Conserver en texte (zeros de tete, 2A/2B). Ne jamais caster en entier.;PQ-05
DIS_COM_UDI;nomcommune;Nom de la commune;VARCHAR (fichier plat);VARCHAR(50);Attribut degrade de DIM_GEOGRAPHIE;495 059;0.00 %;32 694;1;45;AAST;ÉTERNOZ-VALLÉE-DU-LISON;Trim + normalisation de casse. Ne pas utiliser comme cle (homonymes).;PQ-09
DIS_COM_UDI;quartier;Quartier ou zone desservie;VARCHAR (fichier plat);VARCHAR(80);Rejete (qualite insuffisante);495 059;0.00 %;17 183;1;79;-1%;épizy, centre ville;Texte libre non normalise. Mapper le tiret vers NULL. Non retenu dans le DW.;PQ-09
DIS_COM_UDI;cdreseau;Code de l unite de distribution (UDI);VARCHAR (fichier plat);VARCHAR(9);Cle etrangere -> DIM_RESEAU_UDI;495 059;0.00 %;24 373;9;9;1000003;976003883;Cle de la table pont COMMUNE x UDI (arc multiple).;-
DIS_COM_UDI;nomreseau;Libelle de l UDI;VARCHAR (fichier plat);VARCHAR(80);Attribut de DIM_RESEAU_UDI;495 059;0.00 %;25 849;2;75; ABA CAPBRETON 2024;ÎLE DE SEIN (PHARE);Libelle variable dans le temps -> retenir le plus recent (SCD type 1).;PQ-10
DIS_COM_UDI;debutalim;Date de debut d alimentation de la commune par l UDI;VARCHAR (fichier plat);DATE;Attribut de la table pont;495 059;0.00 %;2 209;10;10;01/01/1900;19/12/2025;Caster en DATE. La valeur 1900-01-01 est une sentinelle inconnu -> NULL.;PQ-06
DIS_PLV;;;;;;;;;;;;;;
DIS_PLV;cddept;Code departement du prelevement;VARCHAR (fichier plat);VARCHAR(3);Cle etrangere -> DIM_GEOGRAPHIE (niveau departement);4 060 859;0.00 %;101;3;3;1;976;Format 001 a 976 plus 02A et 02B. Derivable depuis inseecommuneprinc.;PQ-05
DIS_PLV;cdreseau;Code de l UDI prelevee;VARCHAR (fichier plat);VARCHAR(9);Cle etrangere -> DIM_RESEAU_UDI;4 060 859;0.00 %;24 356;9;9;1000003;976003883;Integrite referentielle avec COM_UDI verifiee : zero orphelin.;-
